Target Geo Id 2010,Target Geo Id2 2010,Geographical Area,MSA,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
310M100US24340,24340,"United States - In metropolitan statistical area - Grand Rapids-Wyoming, MI MSA","Grand Rapids-Wyoming, MI MSA",774160,323764,2890.72,106.17,2784.55,278,116.3
310M100US24500,24500,"United States - In metropolitan statistical area - Great Falls, MT MSA","Great Falls, MT MSA",81327,37276,2711.48,13.33,2698.16,30.1,13.8
310M100US24540,24540,"United States - In metropolitan statistical area - Greeley, CO MSA","Greeley, CO MSA",252825,96281,4016.8,29.56,3987.24,63.4,24.1
310M100US24580,24580,"United States - In metropolitan statistical area - Green Bay, WI MSA","Green Bay, WI MSA",306241,137212,2848.8,978.59,1870.21,163.7,73.4
310M100US24660,24660,"United States - In metropolitan statistical area - Greensboro-High Point, NC MSA","Greensboro-High Point, NC MSA",723801,322754,2019.68,25.91,1993.77,363,161.9
310M100US24780,24780,"United States - In metropolitan statistical area - Greenville, NC MSA","Greenville, NC MSA",189510,83203,921.22,3.32,917.9,206.5,90.6
310M100US24860,24860,"United States - In metropolitan statistical area - Greenville-Mauldin-Easley, SC MSA","Greenville-Mauldin-Easley, SC MSA",636986,277415,2030.73,35.4,1995.33,319.2,139
310M100US25060,25060,"United States - In metropolitan statistical area - Gulfport-Biloxi, MS MSA","Gulfport-Biloxi, MS MSA",248820,114182,1976.75,483.52,1493.23,166.6,76.5
310M100US25180,25180,"United States - In metropolitan statistical area - Hagerstown-Martinsburg, MD-WV MSA","Hagerstown-Martinsburg, MD-WV MSA",269140,115329,1018.51,10.52,1007.99,267,114.4
310M100US25260,25260,"United States - In metropolitan statistical area - Hanford-Corcoran, CA MSA","Hanford-Corcoran, CA MSA",152982,43867,1391.53,2.11,1389.42,110.1,31.6
310M100US25420,25420,"United States - In metropolitan statistical area - Harrisburg-Carlisle, PA MSA","Harrisburg-Carlisle, PA MSA",549475,240818,1664.02,42.07,1621.95,338.8,148.5
310M100US25500,25500,"United States - In metropolitan statistical area - Harrisonburg, VA MSA","Harrisonburg, VA MSA",125228,51104,870.83,4.33,866.5,144.5,59
